"direction","distance_threshold_m","predictor","slope","p_value","r_squared","adj_r_squared","AIC","sample_size","conf_low","conf_high","status","effect_interpretation"
"All",110,"has_neighbour",1.19180583715586,0.0263264250676782,0.00722498197270435,0.00576716256297261,1087.74610318127,683,0.140668098432195,2.24294357587953,"OK","more nearby plots are associated with higher DGR"
"All",120,"has_neighbour",1.19180583715586,0.0263264250676782,0.00722498197270435,0.00576716256297261,1087.74610318127,683,0.140668098432195,2.24294357587953,"OK","more nearby plots are associated with higher DGR"
"All",130,"has_neighbour",1.19180583715586,0.0263264250676782,0.00722498197270435,0.00576716256297261,1087.74610318127,683,0.140668098432195,2.24294357587953,"OK","more nearby plots are associated with higher DGR"
"All",140,"has_neighbour",NA,NA,NA,NA,NA,683,NA,NA,"Skipped: predictor has insufficient variation",NA
"All",150,"has_neighbour",NA,NA,NA,NA,NA,683,NA,NA,"Skipped: predictor has insufficient variation",NA
"All",160,"has_neighbour",NA,NA,NA,NA,NA,683,NA,NA,"Skipped: predictor has insufficient variation",NA
"All",170,"has_neighbour",NA,NA,NA,NA,NA,683,NA,NA,"Skipped: predictor has insufficient variation",NA
"All",180,"has_neighbour",NA,NA,NA,NA,NA,683,NA,NA,"Skipped: predictor has insufficient variation",NA
"All",190,"has_neighbour",NA,NA,NA,NA,NA,683,NA,NA,"Skipped: predictor has insufficient variation",NA
"All",200,"has_neighbour",NA,NA,NA,NA,NA,683,NA,NA,"Skipped: predictor has insufficient variation",NA
"All",210,"has_neighbour",NA,NA,NA,NA,NA,683,NA,NA,"Skipped: predictor has insufficient variation",NA
"All",220,"has_neighbour",NA,NA,NA,NA,NA,683,NA,NA,"Skipped: predictor has insufficient variation",NA
"All",230,"has_neighbour",NA,NA,NA,NA,NA,683,NA,NA,"Skipped: predictor has insufficient variation",NA
"All",240,"has_neighbour",NA,NA,NA,NA,NA,683,NA,NA,"Skipped: predictor has insufficient variation",NA
"All",250,"has_neighbour",NA,NA,NA,NA,NA,683,NA,NA,"Skipped: predictor has insufficient variation",NA
"All",260,"has_neighbour",NA,NA,NA,NA,NA,683,NA,NA,"Skipped: predictor has insufficient variation",NA
"All",270,"has_neighbour",NA,NA,NA,NA,NA,683,NA,NA,"Skipped: predictor has insufficient variation",NA
"All",280,"has_neighbour",NA,NA,NA,NA,NA,683,NA,NA,"Skipped: predictor has insufficient variation",NA
"All",290,"has_neighbour",NA,NA,NA,NA,NA,683,NA,NA,"Skipped: predictor has insufficient variation",NA
"All",300,"has_neighbour",NA,NA,NA,NA,NA,683,NA,NA,"Skipped: predictor has insufficient variation",NA
"All",310,"has_neighbour",NA,NA,NA,NA,NA,683,NA,NA,"Skipped: predictor has insufficient variation",NA
"All",320,"has_neighbour",NA,NA,NA,NA,NA,683,NA,NA,"Skipped: predictor has insufficient variation",NA
"All",330,"has_neighbour",NA,NA,NA,NA,NA,683,NA,NA,"Skipped: predictor has insufficient variation",NA
"All",340,"has_neighbour",NA,NA,NA,NA,NA,683,NA,NA,"Skipped: predictor has insufficient variation",NA
"All",350,"has_neighbour",NA,NA,NA,NA,NA,683,NA,NA,"Skipped: predictor has insufficient variation",NA
"All",360,"has_neighbour",NA,NA,NA,NA,NA,683,NA,NA,"Skipped: predictor has insufficient variation",NA
"All",370,"has_neighbour",NA,NA,NA,NA,NA,683,NA,NA,"Skipped: predictor has insufficient variation",NA
"All",380,"has_neighbour",NA,NA,NA,NA,NA,683,NA,NA,"Skipped: predictor has insufficient variation",NA
"All",390,"has_neighbour",NA,NA,NA,NA,NA,683,NA,NA,"Skipped: predictor has insufficient variation",NA
"All",400,"has_neighbour",NA,NA,NA,NA,NA,683,NA,NA,"Skipped: predictor has insufficient variation",NA
"All",410,"has_neighbour",NA,NA,NA,NA,NA,683,NA,NA,"Skipped: predictor has insufficient variation",NA
"All",420,"has_neighbour",NA,NA,NA,NA,NA,683,NA,NA,"Skipped: predictor has insufficient variation",NA
"All",430,"has_neighbour",NA,NA,NA,NA,NA,683,NA,NA,"Skipped: predictor has insufficient variation",NA
"All",440,"has_neighbour",NA,NA,NA,NA,NA,683,NA,NA,"Skipped: predictor has insufficient variation",NA
"All",450,"has_neighbour",NA,NA,NA,NA,NA,683,NA,NA,"Skipped: predictor has insufficient variation",NA
"All",460,"has_neighbour",NA,NA,NA,NA,NA,683,NA,NA,"Skipped: predictor has insufficient variation",NA
"All",470,"has_neighbour",NA,NA,NA,NA,NA,683,NA,NA,"Skipped: predictor has insufficient variation",NA
"All",480,"has_neighbour",NA,NA,NA,NA,NA,683,NA,NA,"Skipped: predictor has insufficient variation",NA
"All",490,"has_neighbour",NA,NA,NA,NA,NA,683,NA,NA,"Skipped: predictor has insufficient variation",NA
"All",500,"has_neighbour",NA,NA,NA,NA,NA,683,NA,NA,"Skipped: predictor has insufficient variation",NA
"All",10,"n_neighbours",NA,NA,NA,NA,NA,683,NA,NA,"Skipped: predictor has insufficient variation",NA
"All",20,"n_neighbours",-0.012959541440002,0.740446534203749,0.000161242741293014,-0.00130694926642905,1092.58854095282,683,-0.0897419297018224,0.0638228468218185,"OK","more nearby plots are associated with lower DGR"
"All",30,"n_neighbours",-0.0327374491314123,0.338499302412265,0.00134531965681115,-0.000121133618288916,1091.77920666859,683,-0.0998473887355704,0.0343724904727458,"OK","more nearby plots are associated with lower DGR"
"All",40,"n_neighbours",-0.00729934558656579,0.754274631214935,0.000143963099991238,-0.00132425428165339,1092.60034474913,683,-0.0530686330939038,0.0384699419207723,"OK","more nearby plots are associated with lower DGR"
"All",50,"n_neighbours",-0.00183463904650418,0.847188484236463,0.000054570085469641,-0.00141377856345049,1092.66140623945,683,-0.0205203036681311,0.0168510255751227,"OK","more nearby plots are associated with lower DGR"
"All",60,"n_neighbours",0.00635383605058314,0.360162195387202,0.00122970225619452,-0.000236920794824291,1091.85827515485,683,-0.00727051775576606,0.0199781898569323,"OK","more nearby plots are associated with higher DGR"
"All",70,"n_neighbours",0.0104455681829513,0.0832357723527388,0.00439963593202583,0.00293766770285109,1089.68709748435,683,-0.00137704024947638,0.0222681766153789,"OK","more nearby plots are associated with higher DGR"
"All",80,"n_neighbours",0.0110905550199673,0.03782913330733,0.00631748500424466,0.00485833299984562,1088.37014921525,683,0.000625245457737232,0.0215558645821974,"OK","more nearby plots are associated with higher DGR"
"All",90,"n_neighbours",0.00866504251909929,0.0398373092759972,0.00618914032585842,0.00472979985643962,1088.45836024184,683,0.000403626606619793,0.0169264584315788,"OK","more nearby plots are associated with higher DGR"
"All",100,"n_neighbours",0.0106228502148525,0.00177418409710924,0.0142539627562663,0.0128064649042198,1082.89317117944,683,0.0039761995708358,0.0172695008588693,"OK","more nearby plots are associated with higher DGR"
"All",110,"n_neighbours",0.0089934424457483,0.00201043622729274,0.0139212531106452,0.0124732666981792,1083.12365889006,683,0.00329849555299081,0.0146883893385058,"OK","more nearby plots are associated with higher DGR"
"All",120,"n_neighbours",0.00710564641782529,0.00446491340458331,0.0118097147196785,0.0103586276634666,1084.58463634291,683,0.00221516893119624,0.0119961239044543,"OK","more nearby plots are associated with higher DGR"
"All",130,"n_neighbours",0.00573946210683943,0.00825778785730508,0.0101999251662451,0.00874647424872121,1085.69635713783,683,0.00148550089390521,0.00999342331977365,"OK","more nearby plots are associated with higher DGR"
"All",140,"n_neighbours",0.00588198364903707,0.00187723329374626,0.0141036457955359,0.0126559272137379,1082.99731428858,683,0.00218182085905845,0.0095821464390157,"OK","more nearby plots are associated with higher DGR"
"All",150,"n_neighbours",0.00494007160662233,0.00285865564784071,0.0129870055121105,0.0115376472235821,1083.77045208685,683,0.00169975645710357,0.00818038675614109,"OK","more nearby plots are associated with higher DGR"
"All",160,"n_neighbours",0.00448307144191755,0.00247664508795167,0.0133672496136696,0.0119184496865237,1083.50727747686,683,0.00158519757148766,0.00738094531234745,"OK","more nearby plots are associated with higher DGR"
"All",170,"n_neighbours",0.00420027064300067,0.00215861775053147,0.013732187560426,0.0122839235186646,1083.25460116345,683,0.00152201563320623,0.00687852565279511,"OK","more nearby plots are associated with higher DGR"
"All",180,"n_neighbours",0.00371867209016291,0.00354431859013122,0.0124184352094512,0.0109682420159262,1084.16378197386,683,0.00122357173543433,0.00621377244489149,"OK","more nearby plots are associated with higher DGR"
"All",190,"n_neighbours",0.00307364621721192,0.0101465545886503,0.00966493570173684,0.00821069919028572,1086.06542064862,683,0.000732693963841822,0.00541459847058203,"OK","more nearby plots are associated with higher DGR"
"All",200,"n_neighbours",0.00296259315636048,0.00907177525092565,0.00995545555777922,0.0085016456540461,1085.86502971122,683,0.000739713771508657,0.0051854725412123,"OK","more nearby plots are associated with higher DGR"
"All",210,"n_neighbours",0.00279582615372721,0.0104083727134143,0.00959893260375773,0.00814459917145782,1086.11093919621,683,0.000659087894691137,0.00493256441276329,"OK","more nearby plots are associated with higher DGR"
"All",220,"n_neighbours",0.00275472516484552,0.00874431883750234,0.0100509999655516,0.00859733036197674,1085.79911350585,683,0.000697759058405662,0.00481169127128539,"OK","more nearby plots are associated with higher DGR"
"All",230,"n_neighbours",0.00241669792580559,0.0167786846089455,0.00836944134233175,0.00691330248967725,1086.95829463517,683,0.000437468360825772,0.00439592749078541,"OK","more nearby plots are associated with higher DGR"
"All",240,"n_neighbours",0.00209282157880871,0.0302063958207115,0.00687924739534138,0.00542092029900565,1087.98391699025,683,0.000200870712828354,0.00398477244478907,"OK","more nearby plots are associated with higher DGR"
"All",250,"n_neighbours",0.0019938496546921,0.0313256052625945,0.00678806327830305,0.00532960228458546,1088.04662426211,683,0.000179222038521089,0.00380847727086312,"OK","more nearby plots are associated with higher DGR"
"All",260,"n_neighbours",0.00185521389573427,0.0375632197986749,0.00633501218849811,0.00487588592152077,1088.35810193431,683,0.000107029097782544,0.00360339869368599,"OK","more nearby plots are associated with higher DGR"
"All",270,"n_neighbours",0.00165476453132283,0.0533892934474155,0.00546873820221413,0.00400833987358307,1088.95327976969,683,-0.0000242286824601258,0.00333375774510579,"OK","more nearby plots are associated with higher DGR"
"All",280,"n_neighbours",0.00142179233370796,0.0813806568817742,0.00445311023195141,0.00299122052597778,1089.65041215453,683,-0.000177700835277761,0.00302128550269368,"OK","more nearby plots are associated with higher DGR"
"All",290,"n_neighbours",0.00139443997575492,0.0724524317841283,0.00473023918063062,0.00326875641878133,1089.46025996436,683,-0.000127423741269152,0.00291630369277899,"OK","more nearby plots are associated with higher DGR"
"All",300,"n_neighbours",0.00137013076390178,0.0676631660512894,0.00489440039666533,0.0034331586938704,1089.34759567697,683,-0.000099790050987971,0.00284005157879152,"OK","more nearby plots are associated with higher DGR"
"All",310,"n_neighbours",0.00140628949530431,0.0529520974968167,0.00548881620500081,0.00402844735948693,1088.9394909479,683,-0.0000179640477652879,0.00283054303837391,"OK","more nearby plots are associated with higher DGR"
"All",320,"n_neighbours",0.00146956558380751,0.0379362952758786,0.00631045800649193,0.00485129568344711,1088.37497915079,683,0.0000820720238914534,0.00285705914372357,"OK","more nearby plots are associated with higher DGR"
"All",330,"n_neighbours",0.00155590325882339,0.0243450089000457,0.00742254448366096,0.00596501518040637,1087.61017246144,683,0.00020216259739951,0.00290964392024726,"OK","more nearby plots are associated with higher DGR"
"All",340,"n_neighbours",0.00166447622555123,0.0134467135397868,0.00893757763323803,0.00748227304826476,1086.56687034405,683,0.00034571772549708,0.00298323472560537,"OK","more nearby plots are associated with higher DGR"
"All",350,"n_neighbours",0.00173916172454349,0.00841876097773697,0.0101496825047138,0.00869615780941968,1085.73102562067,683,0.000446914559483443,0.00303140888960354,"OK","more nearby plots are associated with higher DGR"
"All",360,"n_neighbours",0.00186581978666748,0.00388050417077485,0.0121792930607257,0.0107287487039867,1084.32914989989,683,0.000601535322382427,0.00313010425095253,"OK","more nearby plots are associated with higher DGR"
"All",370,"n_neighbours",0.00198913934518764,0.00172791583904428,0.0143243480863591,0.0128769535901571,1082.84440111595,683,0.000747653210333917,0.00323062548004135,"OK","more nearby plots are associated with higher DGR"
"All",380,"n_neighbours",0.00203709967428277,0.00101900581253548,0.0157348444816631,0.0142895211989635,1081.8663319283,683,0.000824872007664945,0.00324932734090059,"OK","more nearby plots are associated with higher DGR"
"All",390,"n_neighbours",0.00207411556473033,0.000580964792645544,0.0172426843143638,0.0157995751870721,1080.81921139711,683,0.000895965153535902,0.00325226597592476,"OK","more nearby plots are associated with higher DGR"
"All",400,"n_neighbours",0.00206508553132843,0.00040295657779716,0.0182277371065345,0.0167860744591138,1080.13427275249,683,0.000924772390037684,0.00320539867261918,"OK","more nearby plots are associated with higher DGR"
"All",410,"n_neighbours",0.00213249331314358,0.000171181163239201,0.0205408330056897,0.019102566974861,1078.52319798836,683,0.00102454652167684,0.00324044010461032,"OK","more nearby plots are associated with higher DGR"
"All",420,"n_neighbours",0.00214453154164291,0.000101946277499799,0.021945606297541,0.0205094030762452,1077.54291326155,683,0.0010673541368416,0.00322170894644423,"OK","more nearby plots are associated with higher DGR"
"All",430,"n_neighbours",0.00214169306557455,0.0000585171054660464,0.0234531753880059,0.0220191859245521,1076.48932761623,683,0.00110189255739136,0.00318149357375774,"OK","more nearby plots are associated with higher DGR"
"All",440,"n_neighbours",0.00215050481097302,0.0000347413636211082,0.0248713446173267,0.0234394376343859,1075.49673457089,683,0.00113736628625984,0.0031636433356862,"OK","more nearby plots are associated with higher DGR"
"All",450,"n_neighbours",0.00217787621427377,0.0000172956497873129,0.0267711026603823,0.0253419853368293,1074.16480742764,683,0.00118988144741303,0.00316587098113452,"OK","more nearby plots are associated with higher DGR"
"All",460,"n_neighbours",0.00215946627828412,0.000012689692509767,0.0276153203357368,0.0261874426857158,1073.57208879608,683,0.00119533200358111,0.00312360055298713,"OK","more nearby plots are associated with higher DGR"
"All",470,"n_neighbours",0.00217308147027753,0.0000071844669414514,0.0291671231443706,0.0277415242062566,1072.48123662665,683,0.00122978429712783,0.00311637864342723,"OK","more nearby plots are associated with higher DGR"
"All",480,"n_neighbours",0.00217644117567936,0.00000388942733751123,0.0308421245198606,0.0294189852019751,1071.3018225265,683,0.00125849093601898,0.00309439141533974,"OK","more nearby plots are associated with higher DGR"
"All",490,"n_neighbours",0.00212261835147093,0.00000351735579258361,0.0311166592655599,0.0296939230823962,1071.10832072581,683,0.00123145306470712,0.00301378363823475,"OK","more nearby plots are associated with higher DGR"
"All",500,"n_neighbours",0.00211202354033286,0.00000235061775763022,0.032217191702447,0.0307960715727883,1070.33207569703,683,0.00124107810016671,0.002982968980499,"OK","more nearby plots are associated with higher DGR"
"All",10,"nearest_distance_m",NA,NA,NA,NA,NA,0,NA,NA,"Skipped: sample size < 10",NA
"All",20,"nearest_distance_m",0.0222535349218149,0.245582354331196,0.00201481195375108,0.000523055319900156,1067.83441916879,671,-0.0153445086475623,0.059851578491192,"OK","more spacing to the nearest plot is associated with higher DGR"
"All",30,"nearest_distance_m",0.0196320546583244,0.281866153733112,0.0017205547437018,0.000237227187600331,1075.049885092,675,-0.016159442963914,0.0554235522805628,"OK","more spacing to the nearest plot is associated with higher DGR"
"All",40,"nearest_distance_m",0.000466437678990223,0.972910375644309,0.00000170966225419195,-0.00147976928639415,1079.25727221762,677,-0.0264931794142886,0.0274260547722691,"OK","more spacing to the nearest plot is associated with higher DGR"
"All",50,"nearest_distance_m",-0.0112923838781763,0.10281316691464,0.00390897407187939,0.0024441343278675,1084.49041064633,682,-0.0248652346192189,0.00228046686286627,"OK","closer nearest plots are associated with higher DGR"
"All",60,"nearest_distance_m",-0.0112923838781763,0.10281316691464,0.00390897407187939,0.0024441343278675,1084.49041064633,682,-0.0248652346192189,0.00228046686286627,"OK","closer nearest plots are associated with higher DGR"
"All",70,"nearest_distance_m",-0.0112923838781763,0.10281316691464,0.00390897407187939,0.0024441343278675,1084.49041064633,682,-0.0248652346192189,0.00228046686286627,"OK","closer nearest plots are associated with higher DGR"
"All",80,"nearest_distance_m",-0.0112923838781763,0.10281316691464,0.00390897407187939,0.0024441343278675,1084.49041064633,682,-0.0248652346192189,0.00228046686286627,"OK","closer nearest plots are associated with higher DGR"
"All",90,"nearest_distance_m",-0.0112923838781763,0.10281316691464,0.00390897407187939,0.0024441343278675,1084.49041064633,682,-0.0248652346192189,0.00228046686286627,"OK","closer nearest plots are associated with higher DGR"
"All",100,"nearest_distance_m",-0.0112923838781763,0.10281316691464,0.00390897407187939,0.0024441343278675,1084.49041064633,682,-0.0248652346192189,0.00228046686286627,"OK","closer nearest plots are associated with higher DGR"
"All",110,"nearest_distance_m",-0.0112923838781763,0.10281316691464,0.00390897407187939,0.0024441343278675,1084.49041064633,682,-0.0248652346192189,0.00228046686286627,"OK","closer nearest plots are associated with higher DGR"
"All",120,"nearest_distance_m",-0.0112923838781763,0.10281316691464,0.00390897407187939,0.0024441343278675,1084.49041064633,682,-0.0248652346192189,0.00228046686286627,"OK","closer nearest plots are associated with higher DGR"
"All",130,"nearest_distance_m",-0.0112923838781763,0.10281316691464,0.00390897407187939,0.0024441343278675,1084.49041064633,682,-0.0248652346192189,0.00228046686286627,"OK","closer nearest plots are associated with higher DGR"
"All",140,"nearest_distance_m",-0.0103784790496219,0.00591875016703999,0.0110696019132378,0.0096174280540795,1085.09598304487,683,-0.0177591808522727,-0.00299777724697109,"OK","closer nearest plots are associated with higher DGR"
"All",150,"nearest_distance_m",-0.0103784790496219,0.00591875016703999,0.0110696019132378,0.0096174280540795,1085.09598304487,683,-0.0177591808522727,-0.00299777724697109,"OK","closer nearest plots are associated with higher DGR"
"All",160,"nearest_distance_m",-0.0103784790496219,0.00591875016703999,0.0110696019132378,0.0096174280540795,1085.09598304487,683,-0.0177591808522727,-0.00299777724697109,"OK","closer nearest plots are associated with higher DGR"
"All",170,"nearest_distance_m",-0.0103784790496219,0.00591875016703999,0.0110696019132378,0.0096174280540795,1085.09598304487,683,-0.0177591808522727,-0.00299777724697109,"OK","closer nearest plots are associated with higher DGR"
"All",180,"nearest_distance_m",-0.0103784790496219,0.00591875016703999,0.0110696019132378,0.0096174280540795,1085.09598304487,683,-0.0177591808522727,-0.00299777724697109,"OK","closer nearest plots are associated with higher DGR"
"All",190,"nearest_distance_m",-0.0103784790496219,0.00591875016703999,0.0110696019132378,0.0096174280540795,1085.09598304487,683,-0.0177591808522727,-0.00299777724697109,"OK","closer nearest plots are associated with higher DGR"
"All",200,"nearest_distance_m",-0.0103784790496219,0.00591875016703999,0.0110696019132378,0.0096174280540795,1085.09598304487,683,-0.0177591808522727,-0.00299777724697109,"OK","closer nearest plots are associated with higher DGR"
"All",210,"nearest_distance_m",-0.0103784790496219,0.00591875016703999,0.0110696019132378,0.0096174280540795,1085.09598304487,683,-0.0177591808522727,-0.00299777724697109,"OK","closer nearest plots are associated with higher DGR"
"All",220,"nearest_distance_m",-0.0103784790496219,0.00591875016703999,0.0110696019132378,0.0096174280540795,1085.09598304487,683,-0.0177591808522727,-0.00299777724697109,"OK","closer nearest plots are associated with higher DGR"
"All",230,"nearest_distance_m",-0.0103784790496219,0.00591875016703999,0.0110696019132378,0.0096174280540795,1085.09598304487,683,-0.0177591808522727,-0.00299777724697109,"OK","closer nearest plots are associated with higher DGR"
"All",240,"nearest_distance_m",-0.0103784790496219,0.00591875016703999,0.0110696019132378,0.0096174280540795,1085.09598304487,683,-0.0177591808522727,-0.00299777724697109,"OK","closer nearest plots are associated with higher DGR"
"All",250,"nearest_distance_m",-0.0103784790496219,0.00591875016703999,0.0110696019132378,0.0096174280540795,1085.09598304487,683,-0.0177591808522727,-0.00299777724697109,"OK","closer nearest plots are associated with higher DGR"
"All",260,"nearest_distance_m",-0.0103784790496219,0.00591875016703999,0.0110696019132378,0.0096174280540795,1085.09598304487,683,-0.0177591808522727,-0.00299777724697109,"OK","closer nearest plots are associated with higher DGR"
"All",270,"nearest_distance_m",-0.0103784790496219,0.00591875016703999,0.0110696019132378,0.0096174280540795,1085.09598304487,683,-0.0177591808522727,-0.00299777724697109,"OK","closer nearest plots are associated with higher DGR"
"All",280,"nearest_distance_m",-0.0103784790496219,0.00591875016703999,0.0110696019132378,0.0096174280540795,1085.09598304487,683,-0.0177591808522727,-0.00299777724697109,"OK","closer nearest plots are associated with higher DGR"
"All",290,"nearest_distance_m",-0.0103784790496219,0.00591875016703999,0.0110696019132378,0.0096174280540795,1085.09598304487,683,-0.0177591808522727,-0.00299777724697109,"OK","closer nearest plots are associated with higher DGR"
"All",300,"nearest_distance_m",-0.0103784790496219,0.00591875016703999,0.0110696019132378,0.0096174280540795,1085.09598304487,683,-0.0177591808522727,-0.00299777724697109,"OK","closer nearest plots are associated with higher DGR"
"All",310,"nearest_distance_m",-0.0103784790496219,0.00591875016703999,0.0110696019132378,0.0096174280540795,1085.09598304487,683,-0.0177591808522727,-0.00299777724697109,"OK","closer nearest plots are associated with higher DGR"
"All",320,"nearest_distance_m",-0.0103784790496219,0.00591875016703999,0.0110696019132378,0.0096174280540795,1085.09598304487,683,-0.0177591808522727,-0.00299777724697109,"OK","closer nearest plots are associated with higher DGR"
"All",330,"nearest_distance_m",-0.0103784790496219,0.00591875016703999,0.0110696019132378,0.0096174280540795,1085.09598304487,683,-0.0177591808522727,-0.00299777724697109,"OK","closer nearest plots are associated with higher DGR"
"All",340,"nearest_distance_m",-0.0103784790496219,0.00591875016703999,0.0110696019132378,0.0096174280540795,1085.09598304487,683,-0.0177591808522727,-0.00299777724697109,"OK","closer nearest plots are associated with higher DGR"
"All",350,"nearest_distance_m",-0.0103784790496219,0.00591875016703999,0.0110696019132378,0.0096174280540795,1085.09598304487,683,-0.0177591808522727,-0.00299777724697109,"OK","closer nearest plots are associated with higher DGR"
"All",360,"nearest_distance_m",-0.0103784790496219,0.00591875016703999,0.0110696019132378,0.0096174280540795,1085.09598304487,683,-0.0177591808522727,-0.00299777724697109,"OK","closer nearest plots are associated with higher DGR"
"All",370,"nearest_distance_m",-0.0103784790496219,0.00591875016703999,0.0110696019132378,0.0096174280540795,1085.09598304487,683,-0.0177591808522727,-0.00299777724697109,"OK","closer nearest plots are associated with higher DGR"
"All",380,"nearest_distance_m",-0.0103784790496219,0.00591875016703999,0.0110696019132378,0.0096174280540795,1085.09598304487,683,-0.0177591808522727,-0.00299777724697109,"OK","closer nearest plots are associated with higher DGR"
"All",390,"nearest_distance_m",-0.0103784790496219,0.00591875016703999,0.0110696019132378,0.0096174280540795,1085.09598304487,683,-0.0177591808522727,-0.00299777724697109,"OK","closer nearest plots are associated with higher DGR"
"All",400,"nearest_distance_m",-0.0103784790496219,0.00591875016703999,0.0110696019132378,0.0096174280540795,1085.09598304487,683,-0.0177591808522727,-0.00299777724697109,"OK","closer nearest plots are associated with higher DGR"
"All",410,"nearest_distance_m",-0.0103784790496219,0.00591875016703999,0.0110696019132378,0.0096174280540795,1085.09598304487,683,-0.0177591808522727,-0.00299777724697109,"OK","closer nearest plots are associated with higher DGR"
"All",420,"nearest_distance_m",-0.0103784790496219,0.00591875016703999,0.0110696019132378,0.0096174280540795,1085.09598304487,683,-0.0177591808522727,-0.00299777724697109,"OK","closer nearest plots are associated with higher DGR"
"All",430,"nearest_distance_m",-0.0103784790496219,0.00591875016703999,0.0110696019132378,0.0096174280540795,1085.09598304487,683,-0.0177591808522727,-0.00299777724697109,"OK","closer nearest plots are associated with higher DGR"
"All",440,"nearest_distance_m",-0.0103784790496219,0.00591875016703999,0.0110696019132378,0.0096174280540795,1085.09598304487,683,-0.0177591808522727,-0.00299777724697109,"OK","closer nearest plots are associated with higher DGR"
"All",450,"nearest_distance_m",-0.0103784790496219,0.00591875016703999,0.0110696019132378,0.0096174280540795,1085.09598304487,683,-0.0177591808522727,-0.00299777724697109,"OK","closer nearest plots are associated with higher DGR"
"All",460,"nearest_distance_m",-0.0103784790496219,0.00591875016703999,0.0110696019132378,0.0096174280540795,1085.09598304487,683,-0.0177591808522727,-0.00299777724697109,"OK","closer nearest plots are associated with higher DGR"
"All",470,"nearest_distance_m",-0.0103784790496219,0.00591875016703999,0.0110696019132378,0.0096174280540795,1085.09598304487,683,-0.0177591808522727,-0.00299777724697109,"OK","closer nearest plots are associated with higher DGR"
"All",480,"nearest_distance_m",-0.0103784790496219,0.00591875016703999,0.0110696019132378,0.0096174280540795,1085.09598304487,683,-0.0177591808522727,-0.00299777724697109,"OK","closer nearest plots are associated with higher DGR"
"All",490,"nearest_distance_m",-0.0103784790496219,0.00591875016703999,0.0110696019132378,0.0096174280540795,1085.09598304487,683,-0.0177591808522727,-0.00299777724697109,"OK","closer nearest plots are associated with higher DGR"
"All",500,"nearest_distance_m",-0.0103784790496219,0.00591875016703999,0.0110696019132378,0.0096174280540795,1085.09598304487,683,-0.0177591808522727,-0.00299777724697109,"OK","closer nearest plots are associated with higher DGR"
"All",10,"neighbour_density_per_ha",NA,NA,NA,NA,NA,683,NA,NA,"Skipped: predictor has insufficient variation",NA
"All",20,"neighbour_density_per_ha",-0.00162854400727212,0.740446534203744,0.000161242741293018,-0.00130694926642905,1092.58854095282,683,-0.0112773034828086,0.00802021546826435,"OK","more nearby plots are associated with lower DGR"
"All",30,"neighbour_density_per_ha",-0.00925629567196619,0.33849930241227,0.00134531965681113,-0.000121133618288916,1091.77920666859,683,-0.0282311840638612,0.00971859271992879,"OK","more nearby plots are associated with lower DGR"
"All",40,"neighbour_density_per_ha",-0.00366905127532292,0.754274631214933,0.000143963099991238,-0.00132425428165339,1092.60034474913,683,-0.0266752044582175,0.0193371019075717,"OK","more nearby plots are associated with lower DGR"
"All",50,"neighbour_density_per_ha",-0.00144092213762165,0.847188484236462,0.0000545700854696377,-0.00141377856345049,1092.66140623945,683,-0.0161166088133082,0.0132347645380649,"OK","more nearby plots are associated with lower DGR"
"All",60,"neighbour_density_per_ha",0.00718601927710535,0.360162195387203,0.00122970225619452,-0.000236920794824291,1091.85827515485,683,-0.00822276186095121,0.0225948004151619,"OK","more nearby plots are associated with higher DGR"
